1n1;1sym;1n2;1sym;1l;1j;1s;2n1;2sym;2n2;2sym;2l;2j;2s;P;E
5;s;5;s;1;1;1;5;s;24;s;0;1;1;0.01838804;31167
5;s;5;s;1;1;1;5;s;25;s;0;1;1;0.01709735;31191
5;s;5;s;1;1;1;5;s;26;s;0;1;1;0.01596153;31212
5;s;5;s;1;1;1;5;s;27;s;0;1;1;0.01495667;31230
5;s;5;s;1;1;1;5;s;28;s;0;1;1;0.01406181;31246
5;s;5;s;1;1;1;5;s;29;s;0;1;1;0.01325892;31261
5;s;5;s;1;1;1;5;s;30;s;0;1;1;0.0125328;31273
5;s;5;s;1;1;1;5;s;31;s;0;1;1;0.01187085;31285
5;s;5;s;1;1;1;5;s;32;s;0;1;1;0.01126273;31294
5;s;5;s;1;1;1;5;s;33;s;0;1;1;0.01070011;31303
5;s;5;s;1;1;1;5;s;34;s;0;1;1;0.01017631;31311
5;s;5;s;1;1;1;5;s;35;s;0;1;1;0.00968602;31318
5;s;5;s;1;1;1;5;s;36;s;0;1;1;0.00922505;31324
5;s;5;s;1;1;1;5;s;37;s;0;1;1;0.00879007;31329
5;s;5;s;1;1;1;5;s;38;s;0;1;1;0.00837845;31334
5;s;5;s;1;1;1;5;s;39;s;0;1;1;0.00798808;31339
5;s;5;s;1;1;1;5;s;40;s;0;1;1;0.00761724;31344
5;s;5;s;1;1;1;5;s;41;s;0;1;1;0.00726452;31348
5;s;5;s;1;1;1;5;s;42;s;0;1;1;0.00692873;31352
5;s;5;s;1;1;1;5;s;43;s;0;1;1;0.00660886;31355
5;s;5;s;1;1;1;5;s;44;s;0;1;1;0.00630401;31359
5;s;5;s;1;1;1;5;s;45;s;0;1;1;0.00601338;31363
5;s;5;s;1;1;1;5;s;46;s;0;1;1;0.00573625;31366
5;s;5;s;1;1;1;5;s;47;s;0;1;1;0.00547196;31369
5;s;5;s;1;1;1;5;s;48;s;0;1;1;0.00521988;31373
5;s;5;s;1;1;1;5;s;49;s;0;1;1;0.00497944;31376
5;s;5;s;1;1;1;5;s;50;s;0;1;1;0.00475009;31379
5;s;5;s;1;1;1;5;s;51;s;0;1;1;0.00453131;31382
5;s;5;s;1;1;1;5;s;52;s;0;1;1;0.00432261;31385
5;s;5;s;1;1;1;5;s;53;s;0;1;1;0.00412353;31387
5;s;5;s;1;1;1;5;s;54;s;0;1;1;0.00393361;31390
5;s;5;s;1;1;1;5;s;55;s;0;1;1;0.00375245;31393
5;s;5;s;1;1;1;5;s;56;s;0;1;1;0.00357963;31395
5;s;5;s;1;1;1;5;s;57;s;0;1;1;0.00341476;31397
5;s;5;s;1;1;1;5;s;58;s;0;1;1;0.0032575;31399
5;s;5;s;1;1;1;5;s;59;s;0;1;1;0.00310747;31401
5;s;5;s;1;1;1;5;s;60;s;0;1;1;0.00296435;31403
5;s;5;s;1;1;1;5;s;61;s;0;1;1;0.00282783;31405
5;s;5;s;1;1;1;5;s;62;s;0;1;1;0.00269759;31407
5;s;5;s;1;1;1;5;s;63;s;0;1;1;0.00257335;31408
5;s;5;s;1;1;1;5;s;64;s;0;1;1;0.00245484;31410
5;s;5;s;1;1;1;5;s;65;s;0;1;1;0.00234178;31411
5;s;5;s;1;1;1;5;s;66;s;0;1;1;0.00223393;31412
5;s;5;s;1;1;1;5;s;67;s;0;1;1;0.00213104;31414
5;s;5;s;1;1;1;5;s;68;s;0;1;1;0.0020329;31415
5;s;5;s;1;1;1;5;s;69;s;0;1;1;0.00193927;31416
5;s;5;s;1;1;1;5;s;70;s;0;1;1;0.00184996;31417
5;s;5;s;1;1;1;5;s;71;s;0;1;1;0.00176476;31417
5;s;5;s;1;1;1;5;s;72;s;0;1;1;0.00168348;31418
5;s;5;s;1;1;1;5;s;73;s;0;1;1;0.00160595;31419
5;s;5;s;1;1;1;5;s;74;s;0;1;1;0.00153198;31420
5;s;5;s;1;1;1;5;s;75;s;0;1;1;0.00146143;31420
5;s;5;s;1;1;1;5;s;76;s;0;1;1;0.00139412;31421
5;s;5;s;1;1;1;5;s;77;s;0;1;1;0.00132991;31421
5;s;5;s;1;1;1;5;s;78;s;0;1;1;0.00126866;31422
5;s;5;s;1;1;1;5;s;79;s;0;1;1;0.00121024;31422
5;s;5;s;1;1;1;5;s;80;s;0;1;1;0.0011545;31423
5;s;5;s;1;1;1;5;s;81;s;0;1;1;0.00110133;31423
5;s;5;s;1;1;1;5;s;82;s;0;1;1;0.0010506;31423
5;s;5;s;1;1;1;5;s;83;s;0;1;1;0.00100222;31424
5;s;5;s;1;1;1;5;s;84;s;0;1;1;0.00095606;31424
5;s;5;s;1;1;1;5;s;85;s;0;1;1;0.00091203;31424
5;s;5;s;1;1;1;5;s;86;s;0;1;1;0.00087002;31425
5;s;5;s;1;1;1;5;s;87;s;0;1;1;0.00082996;31425
5;s;5;s;1;1;1;5;s;88;s;0;1;1;0.00079173;31425
5;s;5;s;1;1;1;5;s;89;s;0;1;1;0.00075527;31425
5;s;5;s;1;1;1;5;s;90;s;0;1;1;0.00072048;31426
5;s;5;s;1;1;1;5;s;91;s;0;1;1;0.0006873;31426
5;s;5;s;1;1;1;5;s;92;s;0;1;1;0.00065565;31426
5;s;5;s;1;1;1;5;s;93;s;0;1;1;0.00062545;31426
5;s;5;s;1;1;1;5;s;94;s;0;1;1;0.00059665;31426
5;s;5;s;1;1;1;5;s;95;s;0;1;1;0.00056917;31426
5;s;5;s;1;1;1;5;s;96;s;0;1;1;0.00054295;31426
5;s;5;s;1;1;1;5;s;97;s;0;1;1;0.00051795;31427
5;s;5;s;1;1;1;5;s;98;s;0;1;1;0.00049409;31427
5;s;5;s;1;1;1;5;s;99;s;0;1;1;0.00047134;31427
5;s;5;s;1;2;1;5;s;20;s;0;1;1;0.03312935;30636
5;s;5;s;1;2;1;5;s;21;s;0;1;1;0.03029512;30678
5;s;5;s;1;2;1;5;s;22;s;0;1;1;0.0278118;30714
5;s;5;s;1;2;1;5;s;23;s;0;1;1;0.02563949;30746
5;s;5;s;1;2;1;5;s;24;s;0;1;1;0.02373886;30773
5;s;5;s;1;2;1;5;s;25;s;0;1;1;0.02207258;30797
5;s;5;s;1;2;1;5;s;26;s;0;1;1;0.02060624;30818
5;s;5;s;1;2;1;5;s;27;s;0;1;1;0.01930898;30836
5;s;5;s;1;2;1;5;s;28;s;0;1;1;0.01815371;30852
5;s;5;s;1;2;1;5;s;29;s;0;1;1;0.01711719;30867
5;s;5;s;1;2;1;5;s;30;s;0;1;1;0.01617978;30879
5;s;5;s;1;2;1;5;s;31;s;0;1;1;0.0153252;30890
5;s;5;s;1;2;1;5;s;32;s;0;1;1;0.01454012;30900
5;s;5;s;1;2;1;5;s;33;s;0;1;1;0.01381378;30909
5;s;5;s;1;2;1;5;s;34;s;0;1;1;0.01313756;30916
5;s;5;s;1;2;1;5;s;35;s;0;1;1;0.0125046;30923
5;s;5;s;1;2;1;5;s;36;s;0;1;1;0.01190949;30930
5;s;5;s;1;2;1;5;s;37;s;0;1;1;0.01134793;30935
5;s;5;s;1;2;1;5;s;38;s;0;1;1;0.01081654;30940
5;s;5;s;1;2;1;5;s;39;s;0;1;1;0.01031257;30945
5;s;5;s;1;2;1;5;s;40;s;0;1;1;0.00983381;30949
5;s;5;s;1;2;1;5;s;41;s;0;1;1;0.00937845;30954
5;s;5;s;1;2;1;5;s;42;s;0;1;1;0.00894495;30957
5;s;5;s;1;2;1;5;s;43;s;0;1;1;0.008532 ;30961
5;s;5;s;1;2;1;5;s;44;s;0;1;1;0.00813844;30965
5;s;5;s;1;2;1;5;s;45;s;0;1;1;0.00776324;30968
5;s;5;s;1;2;1;5;s;46;s;0;1;1;0.00740547;30972
5;s;5;s;1;2;1;5;s;47;s;0;1;1;0.00706427;30975
5;s;5;s;1;2;1;5;s;48;s;0;1;1;0.00673884;30978
5;s;5;s;1;2;1;5;s;49;s;0;1;1;0.00642843;30982
5;s;5;s;1;2;1;5;s;50;s;0;1;1;0.00613234;30985
5;s;5;s;1;2;1;5;s;51;s;0;1;1;0.00584989;30988
5;s;5;s;1;2;1;5;s;52;s;0;1;1;0.00558046;30990
5;s;5;s;1;2;1;5;s;53;s;0;1;1;0.00532345;30993
5;s;5;s;1;2;1;5;s;54;s;0;1;1;0.00507827;30996
5;s;5;s;1;2;1;5;s;55;s;0;1;1;0.00484439;30998
5;s;5;s;1;2;1;5;s;56;s;0;1;1;0.00462128;31001
5;s;5;s;1;2;1;5;s;57;s;0;1;1;0.00440844;31003
5;s;5;s;1;2;1;5;s;58;s;0;1;1;0.00420541;31005
5;s;5;s;1;2;1;5;s;59;s;0;1;1;0.00401173;31007
5;s;5;s;1;2;1;5;s;60;s;0;1;1;0.00382696;31009
5;s;5;s;1;2;1;5;s;61;s;0;1;1;0.00365071;31011
5;s;5;s;1;2;1;5;s;62;s;0;1;1;0.00348258;31013
5;s;5;s;1;2;1;5;s;63;s;0;1;1;0.00332219;31014
5;s;5;s;1;2;1;5;s;64;s;0;1;1;0.00316918;31016
